"date","hf_excess_return","market_excess_return","high_minus_low","small_minus_big"
01/06/1962,-5.79967,-8.47,2.54,-0.57
01/07/1962,3.50024,6.28,-3.44,1.49
01/08/1962,2.04854,2.13,-1.19,1.23
01/09/1962,-6.59732,-5.22,1.23,-2.43
01/10/1962,-3.19678,-0.05,1.29,-3.97
01/11/1962,15.59184,10.87,1.01,2.61
01/12/1962,-3.22112,1.01,0.33,-3.8
01/01/1963,11.86012,4.93,2.26,3.06
01/02/1963,1.23372,-2.38,2.21,0.5
01/03/1963,2.74705,3.08,2.1,-2.62
01/04/1963,4.33448,4.51,1.01,-1.31
01/05/1963,6.58474,1.76,2.5,1.12
01/06/1963,-1.38321,-2,0.7,-0.25
01/07/1963,-2.22048,-0.39,-0.83,-0.56
01/08/1963,6.24691,5.07,1.67,-0.94
01/09/1963,-1.7126,-1.57,0.18,-0.3
01/10/1963,1.75433,2.53,-0.1,-0.54
01/11/1963,0.08521,-0.85,1.71,-1.13
01/12/1963,-0.73865,1.83,-0.12,-1.97
01/01/1964,4.19804,2.24,1.59,-0.19
01/02/1964,5.55568,1.54,2.83,0.1
01/03/1964,7.18316,1.41,3.32,0.99
01/04/1964,-2.34258,0.1,-0.55,-1.37
01/05/1964,3.02598,1.42,1.98,-0.9
01/06/1964,1.89654,1.27,0.68,-0.26
01/07/1964,3.04032,1.74,0.68,0.28
01/08/1964,-1.22947,-1.44,0.09,0.09
01/09/1964,4.34946,2.69,1.65,-0.51
01/10/1964,2.6934,0.59,1.14,0.43
01/11/1964,-1.96039,0,-1.98,0.61
01/12/1964,-3.78011,0.03,-2.55,-0.26
01/01/1965,7.15771,3.54,0.18,2.7
01/02/1965,5.03137,0.44,0.22,3.48
01/03/1965,2.33722,-1.34,1.09,1.79
01/04/1965,5.60404,3.11,0.71,1.2
01/05/1965,-2.96139,-0.77,-1.63,0.04
01/06/1965,-10.19855,-5.51,0.55,-4.35
01/07/1965,5.49867,1.43,2.18,0.87
01/08/1965,4.91932,2.73,-0.96,2.81
01/09/1965,3.50115,2.86,-0.1,0.61
01/10/1965,7.76663,2.6,1.52,2.48
01/11/1965,6.04108,-0.03,0.21,4.68
01/12/1965,6.25278,1.01,1.95,2.08
01/01/1966,10.2999,0.72,3.49,3.89
01/02/1966,4.74968,-1.21,0.27,4.54
01/03/1966,-4.21725,-2.51,-2.07,0.94
01/04/1966,5.68085,2.14,-0.54,3.45
01/05/1966,-13.65141,-5.66,-1.55,-4.7
01/06/1966,0.47759,-1.44,0.5,1.02
01/07/1966,-0.87827,-1.63,0.96,-0.44
01/08/1966,-11.35435,-7.91,0.47,-3.23
01/09/1966,-1.6789,-1.06,0.53,-1.07
01/10/1966,-0.36099,3.86,2.87,-6.64
01/11/1966,0.52822,1.4,-4.46,4.22
01/12/1966,0.76679,0.13,-1.22,1.86
01/01/1967,21.54705,8.15,2.22,8.32
01/02/1967,1.95375,0.78,-2.17,3.34
01/03/1967,6.48072,3.99,0.31,1.63
01/04/1967,1.08643,3.89,-2.64,0.62
01/05/1967,-0.83678,-4.33,0.8,1.98
01/06/1967,11.10975,2.41,0.96,5.96
01/07/1967,12.06372,4.58,2.65,3.08
01/08/1967,1.67365,-0.89,1.46,0.47
01/09/1967,3.60732,3.11,-2.47,3.1
01/10/1967,-6.00278,-3.09,-3.39,1.42
01/11/1967,-1.71842,0.37,-1.71,0.2
01/12/1967,9.62501,3.05,-0.39,5.73
01/01/1968,7.21217,-4.06,4.75,3.91
01/02/1968,-5.83669,-3.75,1.17,-2.95
01/03/1968,-2.18273,0.2,-0.59,-1.28
01/04/1968,14.8175,9.05,-1.03,5.73
01/05/1968,11.39872,2.28,0.84,6.43
01/06/1968,1.40557,0.69,0.67,-0.17
01/07/1968,3.13146,-2.72,5.48,-1.3
01/08/1968,5.61545,1.34,1,2.34
01/09/1968,7.80345,4.03,0.23,2.76
01/10/1968,3.7896,0.42,2.89,-0.47
01/11/1968,7.16865,5.43,-0.9,2.35
01/12/1968,0.28572,-3.94,0.02,3.44
01/01/1969,0.08688,-1.25,1.69,-0.78
01/02/1969,-9.45738,-5.84,0.91,-3.89
01/03/1969,1.73781,2.64,-0.46,-0.25
01/04/1969,0.43152,1.46,0.03,-0.88
01/05/1969,0.55934,-0.1,0.73,-0.27
01/06/1969,-15.40562,-7.18,-1.09,-5.39
01/07/1969,-9.10456,-7,1.42,-3.21
01/08/1969,0.61301,4.68,-3.87,0.94
01/09/1969,-5.88253,-2.98,-3.19,1.2
01/10/1969,5.46123,5.06,-3.19,3.81
01/11/1969,-8.49461,-3.79,-1.12,-2.53
01/12/1969,-11.31628,-2.63,-3.02,-3.67
01/01/1970,-0.46209,-8.1,3.04,2.9
01/02/1970,7.74339,5.13,4.04,-2.4
01/03/1970,1.87315,-1.06,4.25,-2.32
01/04/1970,-9.93193,-11,6.4,-6.11
01/05/1970,-7.65625,-6.92,3.6,-4.52
01/06/1970,-7.32812,-5.79,0.87,-2.16
01/07/1970,7.64836,6.93,0.96,-0.54
01/08/1970,7.83072,4.49,1.03,1.52
01/09/1970,7.23703,4.18,-5.58,8.62
01/10/1970,-7.22387,-2.28,0.27,-4.28
01/11/1970,1.86042,4.6,1.63,-4.07
01/12/1970,10.82533,5.72,1.01,2.97
01/01/1971,15.87128,4.84,1.38,7.37
01/02/1971,1.97949,1.41,-1.29,1.88
01/03/1971,1.79195,4.13,-4.04,2.54
01/04/1971,3.56596,3.15,0.72,-0.49
