date,ticker,price,sp500_price,risk_free_rate,market_excess,stock_excess
20150529,b9aae40e,25.2,2107.39,0,-0.021011773,-0.092063492
20150630,b9aae40e,22.88,2063.11,0,0.01974204,-0.018793706
20150731,b9aae40e,22.45,2103.84,0,-0.062580805,-0.112694878
20150831,b9aae40e,19.92,1972.18,0,-0.02644282,-0.254518072
20150930,b9aae40e,14.85,1920.03,0,0.082983078,-0.131986532
20151030,b9aae40e,12.89,2079.36,0,0.000504963,-0.041117145
20151130,b9aae40e,12.36,2080.41,0,-0.017630198,-0.047834628
20151231,b9aae40e,11.77,2043.94,1.00E-04,-0.050835344,-0.096106797
20160129,b9aae40e,10.64,1940.24,1.00E-04,-0.004328355,0.012957895
20160229,b9aae40e,10.78,1932.23,2.00E-04,0.065791109,0.206664564
20160331,b9aae40e,13.01,2059.74,2.00E-04,0.00259937,0.160545657
20160429,b9aae40e,15.1,2065.3,1.00E-04,0.015229492,0.084668212
20160531,b9aae40e,16.38,2096.96,1.00E-04,0.000706074,-0.085059585
20160630,b9aae40e,14.99,2098.86,2.00E-04,0.035409807,-0.076917812
20160729,b9aae40e,13.84,2173.6,2.00E-04,-0.001419176,-0.1252
20160831,b9aae40e,12.11,2170.95,2.00E-04,-0.001434483,-0.074518745
20160930,b9aae40e,11.21,2168.27,2.00E-04,-0.019625625,-0.051939518
20161031,b9aae40e,10.63,2126.15,2.00E-04,0.034074447,0.066692098
20161130,b9aae40e,11.34,2198.81,1.00E-04,0.017900754,0.080828748
20161230,b9aae40e,12.26,2238.83,3.00E-04,0.017484341,0.348702773
20170131,b9aae40e,16.54,2278.87,4.00E-04,0.036798261,0.00080919
20170228,b9aae40e,16.56,2363.64,4.00E-04,-0.00068923,0.128927053
20170331,b9aae40e,18.7,2362.72,3.00E-04,0.008591217,-0.096756684
20170428,b9aae40e,16.9,2384.2,5.00E-04,0.01097621,-0.050304142
20170531,b9aae40e,16.06,2411.8,6.00E-04,0.004213832,0.071629141
20170630,b9aae40e,17.22,2423.41,6.00E-04,0.018648769,0.429032869
20170731,b9aae40e,24.62,2470.3,7.00E-04,-0.000353508,0.010879041
20170831,b9aae40e,24.91,2471.65,9.00E-04,0.018402895,0.026398274
20170929,b9aae40e,25.59,2519.36,9.00E-04,0.021288175,-0.023955881
20171031,b9aae40e,25,2575.26,9.00E-04,0.027282601,0.1052
